user_name,review_text,rating,review_date,review_id,source
Jhareswar Bera,good,5,2026-02-23 00:22:11,399b4c88-619c-48eb-99c5-0064a0db1b46,google_play
Shital Parte,good 👍,4,2026-02-23 00:20:48,e0b5bd0b-9408-4382-945f-97042a13b3dc,google_play
Ashish Raj,very nice app,5,2026-02-23 00:15:52,bcc055aa-d9e4-4af3-bfa0-fd96138e8a34,google_play
Arpan Gupta,w 😴😘 yw a p wu utt o bolo na,3,2026-02-23 00:10:56,4e6c3c25-f333-4325-963d-f8aa44446050,google_play
Vikram Sarkar,nice apps,5,2026-02-22 23:51:16,a1fbb826-1ca6-4385-a7ff-47a89c8b3ce5,google_play
Hobibur Rahman,good,5,2026-02-22 23:50:06,15c78879-be04-4595-91b4-6f27d68aee5c,google_play
Tarus Omre,Please do something on brokerage charges.......adjust a little bit it would be helpful.....rest all fine 👍,5,2026-02-22 23:17:58,2baf77ea-ea5e-49e0-9e1d-321405a23285,google_play
Pardeep Kumar,awesome,5,2026-02-22 23:13:49,79c4de82-d55c-4516-bb92-22c3fb8b7903,google_play
Dhamma deep,Nice,5,2026-02-22 22:55:26,7a391695-a48e-4c5b-9892-1cbcf24baaa3,google_play
Arjun Dukare,bedt spp for new,5,2026-02-22 22:12:47,1805a43e-29a8-4fa9-aeca-5670b3465025,google_play
Archana Singh,Good,5,2026-02-22 21:51:32,3d2413d0-78ef-4b18-aff4-4f919b4fb190,google_play
Arman Khan,good app good interface,5,2026-02-22 21:36:40,d172b454-c511-4064-95a1-4f535d611543,google_play
Sandhya Shinde,Good app but needs some improvement feature wise take example from zerodha,4,2026-02-22 21:29:54,6b3f4723-4ace-42e5-87e4-64417a53ff8c,google_play
Puja Sharma,nice,5,2026-02-22 21:10:56,45b47357-6c44-4add-8605-ee7f4267493b,google_play
Anil Jadhav,best,5,2026-02-22 21:03:36,b9a6bc7f-4779-4daf-afef-02fd61388201,google_play
Aditya Raj,Op,4,2026-02-22 21:03:02,4794b159-677f-44c8-b7a3-a07a16b472d5,google_play
Lakhan Kakarwal,best off app,5,2026-02-22 20:41:42,c1475dd7-95d8-46d7-8db2-4e77c3a1dc19,google_play
Satyam Kumar,good💯👍,5,2026-02-22 20:40:52,368ecc4d-2b91-40a6-aaf2-5e9783af9db8,google_play
S R RON,It's a better app comparison to others for trading.,5,2026-02-22 20:36:01,a5c22fd2-fa8a-4ec1-a4fb-e35416a6ae81,google_play
Dilip Upadhya,payment issue everytime guys Don't use this app,1,2026-02-22 20:24:59,3da24b83-ee16-4cb8-be7b-ecfe8e705af8,google_play
rajesh sharma,good,5,2026-02-22 20:01:10,87eba915-f0a5-484f-85e7-f3ec93712e82,google_play
Vilas Damodar,excellent app,5,2026-02-22 19:54:18,79fc0888-90c8-4ac1-866b-02195eaaf46e,google_play
Riknang Sangma,👍,5,2026-02-22 19:53:51,baf62bbf-6660-4cbb-9878-403f792edd6f,google_play
Deepak Maurya,excellent,5,2026-02-22 19:43:38,8cae68bb-ff4a-4ef0-a4fa-99d5ef36d1a7,google_play
Rahul Bansal,it's very good and easy app,5,2026-02-22 19:29:05,cc34ed42-6197-468f-8be4-eca1977a64c7,google_play
SITAL TUDU,Nice,5,2026-02-22 19:18:34,39f93bc0-7c70-44aa-9566-a025d77439f4,google_play
Somasunder Maddineni,good,3,2026-02-22 19:11:18,3952baf2-9758-419c-8fc9-3f799e5a367c,google_play
MAROTI KEDARE,good,5,2026-02-22 19:10:56,6de30873-cc1c-4e50-8928-e71a96618b95,google_play
Kartik Luhar,so many ads in you please stop this I am not able to watch any of my youtube video because of your ads,1,2026-02-22 19:10:36,8da0cf4c-46d4-4987-9644-6891d3a162dc,google_play
Lalit Kishor,nice aap,5,2026-02-22 18:53:03,c140adfc-2931-4a0a-a1b0-d8f4cca67ced,google_play
